mať	mít,mýt,žiť
byť	být,bát,be,bít,žiť,by
povedať	požádat,pořádat,předat,poradit,povést,pořídit,povolit,pověřit,zvedat,pověsit,povídat,povýšit,posadit,povolat,povstat,posedět,pohledět,pohrdat,porodit,povážit,povařit,povalit,pohodit,poddat,povléci,pojídat,popiť,polučiť,popadat,povozit,povědět,pozvedat,popudit
môcť	mít,být,moci,muset,stát,říci,jít,lze,dát,hrát,vést,žít,zdát,znát,psát,vzít,smět,měnit,brát,umět,růst,přát,jet,nést,ptát,znít,číst,bát,učit,viz,dít,zbýt,mínit,mířit,měřit,mívat,mýlit,krýt,smát,jíst,dbát,mrzet,mizet,snít,užít,spát,mlčet,vézt,zvát,be,ujet,hnát,pít,lhát,ujít,tzn,téci,ubýt,lézt,prát,sjet,udát,míjet,zet,spět,ožít,ctít,mávat,šít,vát,lpět,drát,udat,vjet,opít,zbít,mazat,vlát,zrát,bít,bdít,přít,orat,mýt,vžít,vrýt,mísit,sát,žrát,vřít,čpět,vdát,etre,mučit,čnít,mařit,dlít,Can,péci,need,Wish,Were,pást,mstít,vado,keep,clít,come,talk,esse,umýt,zřít,čnět,jedú,ulít,Lean,upít,míhat,take,žiť,want,live,by,Said,ist,sžít,kát,řvát,Want,ušít,davať,popiť,mnout,kecat,mořit,pět,kácet,dřít,go,stop,cpát,lít,zout,rvát,fan,love,do,give,kiss,shot,makat,use,sein,máčet,fiat,týt
vedieť	věřit,řídit,volit,vadit,hodit,vejít,vážit,řadit,radit,vsadit,budit,vozit,rodit,vinit,vařit,velet,valit,nudit,ladit,řádit,cedit,šidit,ředit,vhodit,vepsat,vodit,vetřít,súdit,vnadit,vlnit,dědit,vracať,vršit,pídit,vetkat
chcieť	chtít,chybět,cítit,chápat,chodit,chovat,cenit,chytat,chytit,chopit,cedit,chýlit,chvět,change,chrlit,check,chybit
ísť	žiť
musieť	muset,měnit,mínit,mířit,nosit,zkusit,měřit,mýlit,okusit,děsit,tasit,mísit,mučit,udusit,mařit,mumlat,hasit,mořit,dostať,dusit
prísť	mít,říci,jít,žít,psát,vzít,prodat,podat,přát,ptát,znít,projít,číst,dít,plnit,prožít,popsat,pravit,padat,jíst,prosit,projet,snít,užít,pršet,pít,plést,pálit,ujít,prchat,prát,zříci,ožít,pojit,ctít,šít,počít,plout,opít,zbít,sníst,bít,příst,pykat,bdít,přít,vžít,mísit,smísit,vřít,čnít,dlít,péci,pást,clít,polít,zřít,ulít,upít,žiť,pídit,pobýt,sžít,ušít,ujíst,davať,popiť,pět,dřít,propít,lít,probít,pojít
vidieť	vidět,věřit,řídit,volit,vadit,hodit,vážit,viset,řadit,radit,vsadit,budit,vozit,rodit,vinit,vařit,valit,nudit,ladit,řádit,cedit,šidit,ředit,vhodit,ošidit,vodit,súdit,vnadit,vlnit,dědit,vracať,vršit,pídit
odvetiť	odmítat,odvolat,odvádět,odvést,odvézt,odletět,odvrátit,odvážit,odvážet,odvíjet,odvodit,odvětit,odlétat,odvalit,obletět,odvléci,odvinit,odvrtat
spýtať	splnit,spojit,splatit,spadat,spustit,spát,svítit,skýtat,spět,spasit,spálit,sčítat,svítat,splést,světit,spílat,spoutat,vracať,smatriť,ubivať,davať,spékat,splétat,spořit,dostať,spásat,spářit,sytit
dať	dát,dít,žiť,do
začať	začít
zvolať	zvolit,zvolat
nájsť	dojít,najít,vyjít,napsat,nést,sejít,odjet,nutit,nosit,hájit,vejít,tajit,nabýt,zajít,vyjet,dojet,ničit,ujet,ujít,zajet,sjet,míjet,pojit,nudit,vjet,uhájit,bujet,nabít,dojit,najet,krájet,need,hojit,napít,nasát,žiť,objet,nítit,davať,popiť,nepsat,opájet,načít,nadat,nalít,nadát,pojít
stať	stát,stop
urobiť	určit,vyrobit,urazit,zlobit,dobýt,zdobit,urážet,urovnat,drobit,pobýt,ubivať,popiť,probít
pozrieť	poznat,pozvat,poučit,pojit,pozbýt,popiť,polučiť
odísť	mít,říci,jít,žít,vzít,odejít,znít,číst,dít,odjet,odnést,jíst,ozvat,odvést,odvézt,snít,užít,pít,ujít,odkrýt,odepsat,zříci,opřít,okusit,ožít,ctít,šít,odbýt,ohřát,opít,zbít,sníst,oddat,oběsit,odolat,bít,příst,bdít,přít,orat,vžít,mísit,smísit,otřít,vřít,čnít,dlít,odříci,clít,zřít,ohrát,ulít,upít,opásat,orosit,otéci,žiť,odsát,objet,sžít,ušít,ujíst,odrůst,davať,popiť,dřít,odřít,optat,ověsit,lít,odejet,odírat
sedieť	řídit,setkat,soudit,sejít,sedět,vadit,sehrát,hodit,sehnat,řadit,radit,budit,sebrat,rodit,selhat,sílit,sednout,sladit,sepsat,nudit,sečíst,ladit,řádit,setřít,cedit,šidit,sevřít,seřvat,ředit,vodit,súdit,sezvat,sešít,dědit,shodit,pídit,sežrat,sušit,sein,sytit,sekat
poznať	poznat
čakať	říkat,činit,čekat,týkat,číst,čelit,lákat,utkat,plakat,čišet,čítat,číhat,pykat,čpět,čnít,šukat,čnět,take,vracať,žiť,ubivať,davať,popiť,dostať,makat,sekat
dostať	dostať
otvoriť	otvírat,smatriť
myslieť	myslit
stáť	stát,stop
robiť	růst,líbit,zbýt,zabít,rušit,nabýt,dbát,radit,ručit,rodit,rozbít,zlobit,hýbat,rovnat,dobýt,ubýt,rozjet,rozdat,zdobit,odbýt,zbít,razit,roztát,nabít,líbat,vybýt,drobit,rozrýt,žiť,pobýt,ranit,davať,popiť,haben,rvát,probít
vrátiť	vrátit
volať	volit,volat
vyjsť	vyjít,vyjet
cítiť	cítit
usmiať	učit,uspět,určit,usadit,usmívat,usmrtit,krmit,usnést,usmát,ustat,usedat,uspat,usmířit,vracať,ubivať,davať,dostať,usnout,uzlit,lomit
hovoriť	hovořit,hovět,smatriť
veriť	vědět,hrát,vést,vidět,vydat,vyhrát,věřit,vyjít,vzít,brát,vybrat,volit,viz,vzdát,vadit,volat,vítat,vejít,vážit,krýt,viset,vázat,vyjet,váhat,vézt,vozit,vnést,vinit,vařit,vonět,velet,ukrýt,prát,uhrát,vězet,vstát,vát,vrhat,valit,vléci,vypít,drát,vjet,ubrat,týrat,zírat,vyprat,vlát,vrtat,zrát,vyzrát,orat,vžít,vrýt,žrát,vřít,vdát,vtírat,etre,vlézt,vybýt,vepsat,Were,vodit,vetřít,kárat,vado,vídat,věšet,vrzat,vrtět,ohrát,vlnit,vyrýt,větrat,vracať,žiť,skrýt,vršit,vylít,vetkat,smatriť,davať,popiť,vysrat,uzrát
zdvihnúť	zdvihnout
vziať	vědět,vést,vidět,vydat,věřit,vyjít,vzít,vzrůst,učit,volit,viz,vzdát,vadit,volat,vítat,vejít,vážit,vzejít,viset,vznést,vázat,vyjet,váhat,vézt,vozit,vnést,vinit,vařit,vonět,velet,kazit,vězet,vstát,vát,vrhat,valit,vléci,vypít,vjet,vlát,vrtat,razit,vžít,vrýt,vřít,vdát,vlézt,vybýt,Wish,vodit,vado,vídat,věšet,vrzat,vrtět,vlnit,vyrýt,vracať,žiť,live,vršit,Said,vylít,ubivať,davať,popiť,dostať,vzývat,give,kiss,sein,fiat
pomyslieť	pomyslit
zjaviť	stavět,zbývat,zbavit,bavit,pravit,zpívat,slavit,zabavit,stavit,plavat,plavit,unavit,zdravit,zjevit,zavát,žhavit,zjizvit,vracať,zařvat,smatriť,davať,popiť
rozprávať	rozdávat,rozplývat,rozprodat,rozehrávat,rozprášit
ostať	dostať
zbadať	zbývat,zbavit,vadit,zbýt,hradit,zařadit,zapadat,zřídit,padat,řadit,zrodit,spadat,radit,vsadit,zasadit,zadat,usadit,zdědit,zvedat,upadat,sladit,zradit,zavdat,zbít,ladit,zbořit,zbrzdit,vado,zavadit,vnadit,zvědět,vracať,ubivať,davať,dostať,nadat,nadát
vravieť	vrátit,vracet,zbavit,upravit,bavit,pravit,vybavit,opravit,slavit,vraždit,spravit,stavit,plavit,unavit,zdravit,větvit,žhavit,vracať,vršit,davať,vpravit
počuť	počít,popiť
pustiť	pustit
zasmiať	zaslat,zlomit,zasadit,zasílat,zasedat,zasypat,zasmát,zastřít,zastat,zasít,zaspat,zalomit,dostať
spomenúť	znamenat,pomoci,umožnit,pomáhat,splnit,poznat,spočívat,zapomenout,uvolnit,proměnit,vzpomínat,spojovat,srovnat,ocenit,zapomínat,doplnit,počínat,vzpomenout,sehnat,splňovat,spojit,spoléhat,spadnout,spočítat,splatit,zlomit,splácet,napomoci,spadat,spokojit,spatřit,promítat,spustit,shánět,domáhat,vyčlenit,pramenit,zmocnit,zpomalit,spáchat,doznat,opomenout,rovnat,prolínat,spěchat,pomstít,sjednat,napomáhat,provinit,poranit,spolknout,hromadit,oženit,sejmout,spravit,spasit,začlenit,spálit,pomíjet,dohnat,opomíjet,upomínat,vypomoci,podcenit,přecenit,splývat,dohánět,pohnat,spouštět,stranit,promarnit,skonat,sklonit,vypomáhat,umocnit,členit,spočíst,splést,splakat,zdomácnět,doutnat,doznít,stonat,splynout,spílat,urovnat,směnit,spolykat,souznít,snímat,zelenat,pohánět,spoutat,promrhat,promeškat,promnout,zbobtnat,kořenit,semnout,spřádat,spořádat,stísnit,směstnat,pomočit,kommen,dohonit,domoci,dopomoci,okořenit,protínat,slunit,Comes,dodanit,domazat,smatriť,popiť,vomotat,spékat,spočinout,sportovat,splétat,stmelit,dopomáhat,dokonat,spolčit,spořit,dostať,polučiť,napomínat,vyplenit,habent,spiknout,lomit,spásat,spářit,proměřit,spalovat,promísit
uvidieť	uvidět,uvážit,uvalit,usadit,uvěřit,uklidit,šidit,ošidit,uvolit,uhodit
sledovať	sledovat
chodiť	chodit
zostať	dostať
ukázať	ukázat
kričať	končit,zničit,krýt,krást,ničit,křičet,kráčet,krmit,cvičit,krátit,krčit,krájet,vracať,ubivať,davať,dostať,fičet,klíčit
chytiť	chytat,chytit
páčiť	popiť
báť	být,bát,be,bít,žiť,by
pomôcť	pomoci,podat,použít,pomáhat,poznat,poslat,povést,potkat,popřít,popsat,pozvat,počkat,pokrýt,poučit,pomstít,porůst,pojit,pozbýt,pomíjet,poutat,počít,pohnat,poprat,polít,poddat,pomočit,pobýt,postát,popiť,potácet,pobrat,polučiť,porvat,podjet,pohrát,pojít
